Title,Link,Type,Module
"INQ000396685 - Paper from the Welsh Government titled Information Management and Governance Policy, dated February 2019",https://covid19.public-inquiry.uk/documents/inq000396685-paper-from-the-welsh-government-titled-information-management-and-governance-policy-dated-february-2019/,Type:Evidence,Module:Module 2B
"INQ000385719 - Email chain between Rob Orford (Chief Scientific Adviser for Health, Welsh Government), Frank Atherton (Chief Medical Officer for Wales), Tracey Cooper (Chief Executive of Public Health Wales) and colleagues, regarding PHW/WG - National assessment, dated between 10/11/2020 and 11/10/2020.",https://covid19.public-inquiry.uk/documents/inq000385719-email-chain-between-rob-orford-chief-scientific-adviser-for-health-welsh-government-frank-atherton-chief-medical-officer-for-wales-tracey-cooper-chief-executive-of-public-health/,Type:Evidence,Module:Module 2B
"INQ000350691 - Statement by Jane Hutt (Deputy First Minister) and Welsh Government, titled Statement to mark the International Day of Disabled People, dated 01/12/2020.",https://covid19.public-inquiry.uk/documents/inq000350691-statement-by-jane-hutt-deputy-first-minister-and-welsh-government-titled-statement-to-mark-the-international-day-of-disabled-people-dated-01-12-2020/,Type:Evidence,Module:Module 2B
"PHT000000039 - Transcript of day 16 of the UK Covid-19 Inquiry Module 2 Hearing, dated 1 November 2023.",https://covid19.public-inquiry.uk/documents/pht000000039-transcript-of-day-16-of-the-uk-covid-19-inquiry-module-2-hearing-dated-1-november-2023/,Type:Evidence,Module:Module 2B
"INQ000400585 - Witness statement provided by Dr Christopher Williams on behalf of Public Health Wales,  dated 19/01/2024.",https://covid19.public-inquiry.uk/documents/inq000400585-witness-statement-provided-by-dr-christopher-williams-on-behalf-of-public-health-wales-dated-19-01-2024/,Type:Evidence,Module:Module 2B
"INQ000350094 - Emails between Lee Waters (Deputy Minister for Economy and Transport) and (Private Secretary Deputy Minister Economy and Transport, Welsh Government) regarding a review of post-firebreak restrictions, between 19/11/2020 and 15/12/2020.",https://covid19.public-inquiry.uk/documents/inq000350094-emails-between-lee-waters-deputy-minister-for-economy-and-transport-and-private-secretary-deputy-minister-economy-and-transport-welsh-government-regarding-a-review-of-post-firebrea-2/,Type:Evidence,Module:Module 2B
"INQ000395913 - Email chain between Dr Rob Orford (Chief Scientific Adviser for Health, Welsh Government), Reg Kilpatrick (Director General, Covid Crisis Coordination, Welsh Government) and colleagues, regarding Covid fire break, dated between 15/10/2020 and 18/10/2020.",https://covid19.public-inquiry.uk/documents/inq000395913-email-chain-between-dr-rob-orford-chief-scientific-adviser-for-health-welsh-government-reg-kilpatrick-director-general-covid-crisis-coordination-welsh-government-and-colleagues/,Type:Evidence,Module:Module 2B
"PHT000000014 - Transcript of day 14 of the UK Covid-19 Inquiry Module 1 Hearing, dated 04/07/2023.",https://covid19.public-inquiry.uk/documents/pht000000014-transcript-of-day-14-of-the-uk-covid-19-inquiry-module-1-hearing-dated-04-07-2023/,Type:Evidence,Module:Module 2B
"PHT000000030 - Transcript of Day 07 of the UK Covid-19 Inquiry Module 2 Hearing, dated 11/10/2023.",https://covid19.public-inquiry.uk/documents/pht000000030-transcript-of-day-07-of-the-uk-covid-19-inquiry-module-2-hearing-dated-11-10-2023/,Type:Evidence,Module:Module 2B
"INQ000395589 - Email chain between Gill Richardson (Professional Advisor to the Chief Medical Officer, Welsh Government) and Welsh Government and Public Health Wales colleagues, regarding a DHSC/PHE/DA call, dated between 14/04/2020 and 15/04/2020.",https://covid19.public-inquiry.uk/documents/inq000395589-email-chain-between-gill-richardson-professional-advisor-to-the-chief-medical-officer-welsh-government-and-welsh-government-and-public-health-wales-colleagues-regarding-a-dhsc-phe-d/,Type:Evidence,Module:Module 2B
"INQ000396686 - Notice from Senior Information Risk Officer, Welsh Government titled Social Media, dated 28/01/2020.",https://covid19.public-inquiry.uk/documents/inq000396686-notice-from-senior-information-risk-officer-welsh-government-titled-social-media-dated-28-01-2020/,Type:Evidence,Module:Module 2B
"INQ000396684 - Guidance from the Cabinet Office / The National Archives titled Guidance on Private Office Records, dated 17/06/2009.",https://covid19.public-inquiry.uk/documents/inq000396684-guidance-from-the-cabinet-office-the-national-archives-titled-guidance-on-private-office-records-dated-17-06-2009/,Type:Evidence,Module:Module 2B
"INQ000412042 - Presentation from UK Covid-19 Inquiry, titled module 2B data and charts, dated between 01/01/2020 and 01/04/2022.",https://covid19.public-inquiry.uk/documents/inq000412042-presentation-from-uk-covid-19-inquiry-titled-module-2b-data-and-charts-dated-between-01-01-2020-and-01-04-2022/,Type:Evidence,Module:Module 2B
"INQ000383998 - Email chain between Dr Rob Orford (Chief Scientific Adviser for Health, Welsh Government), PS Minister of Health and Social Services and colleagues, regarding Welsh National COVID 19 Test Plan, dated 27/03/2020.",https://covid19.public-inquiry.uk/documents/inq000383998-email-chain-between-dr-rob-orford-chief-scientific-adviser-for-health-welsh-government-ps-minister-of-health-and-social-services-and-colleagues-regarding-welsh-national-covid-19-te/,Type:Evidence,Module:Module 2B
"INQ000383581 - Minutes of Precautionary SAGE Meeting on Wuhan Coronavirus (WN-CoV) regarding situation update, current understanding of WN-CoV, NERVTAG conclusions, transport-related issues, UK health readiness and planning and HMG response, dated 23/01/2020.",https://covid19.public-inquiry.uk/documents/inq000383581-minutes-of-precautionary-sage-meeting-on-wuhan-coronavirus-wn-cov-regarding-situation-update-current-understanding-of-wn-cov-nervtag-conclusions-transport-related-issues-uk-health/,Type:Evidence,Module:Module 2B
"INQ000350057 - Paper from Welsh Government Technical Advisory Group titled statement regarding NPIs in the pre-christmas period, dated 02/12/2020.",https://covid19.public-inquiry.uk/documents/inq000350057-paper-from-welsh-government-technical-advisory-group-titled-statement-regarding-npis-in-the-pre-christmas-period-dated-02-12-2020/,Type:Evidence,Module:Module 2B
"INQ000350513 - Email chain between Chris Whitty (Chief Medical Officer for England, UK Government), Frank Atherton (Chief Medical Officer, Welsh Government), Rob Orford (Chief Scientific Adviser for Health, Welsh Government) and colleagues, regarding an overview of UK Strategy, dated 22/03/2020.",https://covid19.public-inquiry.uk/documents/inq000350513-email-chain-between-chris-whitty-chief-medical-officer-for-england-uk-government-frank-atherton-chief-medical-officer-welsh-government-rob-orford-chief-scientific-adviser-for-h/,Type:Evidence,Module:Module 2B
"INQ000383585 - Email from DHSC colleague to Sir Frank Atherton (Chief Medical Officer for Wales), Professor Chris Whitty (Chief Medical Officer for England), Catherine Calderwood (Chief Medical Officer for Northern Ireland) and Michael McBride (Chief Medical Officer for Nothern Ireland) regarding CMO Coronavirus briefing for DsPH, dated 05/02/2020.",https://covid19.public-inquiry.uk/documents/inq000383585-email-from-dhsc-colleague-to-sir-frank-atherton-chief-medical-officer-for-wales-professor-chris-whitty-chief-medical-officer-for-england-catherine-calderwood-chief-medical-office/,Type:Evidence,Module:Module 2B
"INQ000409759 - Blog post from Office for Statistics Regulation titled, Glimmers of light for adult social care statistics, dated 08/07/2021.",https://covid19.public-inquiry.uk/documents/inq000409759-blog-post-from-office-for-statistics-regulation-titled-glimmers-of-light-for-adult-social-care-statistics-dated-08-07-2021/,Type:Evidence,Module:Module 2B
"INQ000350632 - Letter from Mark Drakeford MS (First Minister of Wales) to Robert Buckland QC MP (Lord Chancellor and Secretary of State for Justice, Ministry of Justice), and Suella Braverman QC (Attorney General, UK), regarding the single justice procedure in Wales, dated 02/03/2021.",https://covid19.public-inquiry.uk/documents/inq000350632-letter-from-mark-drakeford-ms-first-minister-of-wales-to-robert-buckland-qc-mp-lord-chancellor-and-secretary-of-state-for-justice-ministry-of-justice-and-suella-braverman-qc-atto/,Type:Evidence,Module:Module 2B
"INQ000147265 - Briefing from Public Health Wales titled update on Wuhan novel coronavirus (WN-CoV), dated 23/01/2020.",https://covid19.public-inquiry.uk/documents/inq000147265-briefing-from-public-health-wales-titled-update-on-wuhan-novel-coronavirus-wn-cov-dated-23-01-2020/,Type:Evidence,Module:Module 2B
"INQ000145526 - Ministerial Advice for decision by First Minister (Welsh Government) from James Gerard (Justice Policy Division) titled single justice procedure and coronavirus related offences, dated 27/01/2021.",https://covid19.public-inquiry.uk/documents/inq000145526-ministerial-advice-for-decision-by-first-minister-welsh-government-from-james-gerard-justice-policy-division-titled-single-justice-procedure-and-coronavirus-related-offences-dated/,Type:Evidence,Module:Module 2B
"Briefing from Public Health Wales titled pneumonia associated with a novel coronavirus, Wuhan, China, dated 10/01/2020.",https://covid19.public-inquiry.uk/documents/briefing-from-public-health-wales-titled-pneumonia-associated-with-a-novel-coronavirus-wuhan-china-dated-10-01-2020/,Type:Evidence,Module:Module 2B
"INQ000147264 - Report by Dr Quentin Sandifer (Executive Director, Public Health Wales) and Andrew Jones (Deputy Director of Public Health Services/Director of Integrated Health Protection), regarding update on actions being taken in response to Wuhan novel coronavirus (WN-CoV), dated 22/01/2020.",https://covid19.public-inquiry.uk/documents/inq000147264-report-by-dr-quentin-sandifer-executive-director-public-health-wales-and-andrew-jones-deputy-director-of-public-health-services-director-of-integrated-health-protection-regarding/,Type:Evidence,Module:Module 2B
"INQ000216485 - Email between John Boulton (Director of NHS Quality Improvement and Patient Safety, Public Health Wales), Huw George (Deputy Chief Executive and Executive Director of Operations and Finance, Public Health Wales) and colleagues regarding Deloitte consulting and testing strategy, dated 02/04/2020.",https://covid19.public-inquiry.uk/documents/inq000216485-email-between-john-boulton-director-of-nhs-quality-improvement-and-patient-safety-public-health-wales-huw-george-deputy-chief-executive-and-executive-director-of-operations-and-fin/,Type:Evidence,Module:Module 2B
"INQ000147237 - Briefing from Public Health Wales, titled Public Health Wales briefing: cluster of pneumonia of unknown aetiology in Wuhan City, China, dated 08/01/2020.",https://covid19.public-inquiry.uk/documents/inq000147237-briefing-from-public-health-wales-titled-public-health-wales-briefing-cluster-of-pneumonia-of-unknown-aetiology-in-wuhan-city-china-dated-08-01-2020/,Type:Evidence,Module:Module 2B
"INQ000180916 - Joint Statement from Wales Trades Union Congress and British Medical Association Cymru on PPE in Health and Social Care, dated 12/04/2020.",https://covid19.public-inquiry.uk/documents/inq000180916-joint-statement-from-wales-trades-union-congress-and-british-medical-association-cymru-on-ppe-in-health-and-social-care-dated-12-04-2020/,Type:Evidence,Module:Module 2B
